LSOA11CD,LSOA11NM,pop_density_persqkm
W01001435,Blaenau Gwent 008A,591.0224438902743
W01000541,Ceredigion 008E,25.477148721394812
W01001752,Cardiff 031B,3708.1107333657114
W01001279,Rhondda Cynon Taf 028F,4969.83758700696
W01001546,Monmouthshire 002A,2392.81210592686
W01001432,Caerphilly 013D,1268.8162846390694
W01001433,Caerphilly 013E,2677.0731707317077
W01001430,Caerphilly 015B,406.3798967124323
W01001431,Caerphilly 015C,206.50965458193298
W01000504,Powys 021D,3069.4879832810866
W01000974,Bridgend 006A,202.56566890653636
W01001545,Monmouthshire 001A,225.8736059479554
W01000845,Swansea 001A,576.4259391672625
W01000326,Flintshire 018B,699.8354467137741
W01000197,Denbighshire 012C,116.89314286104678
W01001438,Blaenau Gwent 004A,802.7932960893854
W01001439,Blaenau Gwent 004B,1952.622673434856
