LSOA11CD,LSOA11NM,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
W01001679,Newport 007D,9,15,22,19,11,14,10,10,10,5,12,16,7,12,14,4,2,11,3,5,6,1,7,5,5,7
W01000575,Pembrokeshire 008C,41,27,40,27,36,32,36,31,30,29,27,26,20,20,21,21,18,20,15,19,15,17,15,16,8,41
W01000574,Pembrokeshire 015A,30,29,34,38,23,30,41,24,28,18,27,19,21,17,16,15,4,10,11,8,17,4,7,8,8,18
W01000633,Carmarthenshire 021B,22,21,25,22,26,13,21,16,20,18,17,12,15,14,9,18,17,9,10,12,12,12,7,5,4,25
W01000407,Wrexham 016C,6,21,16,21,28,18,26,12,12,16,14,15,11,14,5,9,14,12,7,9,8,3,7,2,1,6
W01000486,Powys 011G,24,8,20,13,13,25,14,17,7,13,10,7,11,11,11,9,6,4,8,8,5,6,5,5,11,18
W01000487,Powys 012E,26,34,33,29,27,35,32,31,24,25,32,22,28,32,15,26,21,19,18,13,17,13,22,14,13,81
W01000406,Wrexham 013C,21,14,25,29,16,32,34,19,18,15,18,14,7,10,10,7,15,5,12,5,5,9,6,7,9,8
W01000314,Flintshire 016B,16,16,13,13,15,21,13,19,12,14,22,10,9,9,24,9,14,12,9,7,9,11,4,4,5,23
W01000395,Wrexham 016B,15,14,10,17,15,15,19,22,16,18,14,11,10,7,7,13,9,5,8,3,11,6,3,7,4,4
W01000317,Flintshire 016E,23,18,23,31,19,20,21,15,19,19,12,8,8,7,5,8,3,5,2,2,2,5,7,2,2,3
W01000396,Wrexham 020H,26,13,21,20,23,22,28,13,14,14,14,10,15,8,7,7,5,5,6,2,13,11,11,9,1,7
W01000397,Wrexham 020I,13,16,16,18,12,24,26,20,10,19,20,10,12,9,13,13,9,7,9,3,7,5,3,3,2,5
W01000316,Flintshire 016D,17,17,22,26,18,21,27,15,22,19,18,12,8,11,9,11,10,9,7,11,7,8,5,9,5,39
W01000028,Isle of Anglesey 001D,21,22,25,26,23,29,30,21,25,27,30,16,11,12,16,14,9,13,7,4,6,9,3,6,2,9
